call_id,call_satisfaction_grade,call_response_time
4203,8,ACCEPTABLE
4204,2,SHORT
4205,4,EXCESSIVE
4206,6,EXCESSIVE
4207,6,EXCESSIVE
4208,3,ACCEPTABLE
4209,8,EXCESSIVE
4210,2,SHORT
4211,2,SHORT
4212,1,ACCEPTABLE
4213,6,EXCESSIVE
4214,9,SHORT
4215,1,EXCESSIVE
4216,5,EXCESSIVE
4217,5,EXCESSIVE
4218,7,ACCEPTABLE
4219,8,EXCESSIVE
4220,3,ACCEPTABLE
4221,2,ACCEPTABLE
4222,6,ACCEPTABLE
4223,5,EXCESSIVE
4224,1,EXCESSIVE
4225,6,ACCEPTABLE
4226,4,ACCEPTABLE
4227,9,EXCESSIVE
4228,8,EXCESSIVE
4229,3,ACCEPTABLE
4230,9,EXCESSIVE
4231,9,SHORT
4232,8,ACCEPTABLE
4233,2,SHORT
4234,5,SHORT
4235,1,SHORT
4236,4,EXCESSIVE
4237,3,ACCEPTABLE
4238,5,EXCESSIVE
4239,8,EXCESSIVE
4240,5,EXCESSIVE
4241,7,EXCESSIVE
4242,7,EXCESSIVE
4243,1,ACCEPTABLE
4244,9,SHORT
4245,3,EXCESSIVE
4246,5,EXCESSIVE
4247,3,ACCEPTABLE
4248,6,SHORT
4249,7,ACCEPTABLE
4250,7,EXCESSIVE
4251,6,EXCESSIVE
4252,1,SHORT
4253,3,EXCESSIVE
4254,2,SHORT
4255,6,SHORT
4256,4,ACCEPTABLE
4257,8,SHORT
4258,1,ACCEPTABLE
4259,2,SHORT
4260,8,SHORT
4261,4,EXCESSIVE
4262,1,ACCEPTABLE
4263,7,SHORT
4264,1,ACCEPTABLE
4265,6,ACCEPTABLE
4266,9,ACCEPTABLE
4267,5,EXCESSIVE
4268,8,EXCESSIVE
4269,5,EXCESSIVE
4270,9,ACCEPTABLE
4271,5,SHORT
4272,5,ACCEPTABLE
4273,1,SHORT
4274,8,SHORT
4275,7,SHORT
4276,6,SHORT
4277,5,EXCESSIVE
4278,2,SHORT
4279,8,SHORT
4280,6,EXCESSIVE
4281,9,ACCEPTABLE
4282,4,ACCEPTABLE
4283,7,EXCESSIVE
4284,8,ACCEPTABLE
4285,5,EXCESSIVE
4286,6,SHORT
4287,5,EXCESSIVE
4288,1,EXCESSIVE
4289,2,SHORT
4290,9,EXCESSIVE
4291,7,ACCEPTABLE
4292,6,EXCESSIVE
4293,7,SHORT
4294,5,EXCESSIVE
4295,8,SHORT
4296,8,SHORT
4297,3,EXCESSIVE
4298,5,ACCEPTABLE
4299,1,SHORT
4300,6,EXCESSIVE
4301,6,ACCEPTABLE
4302,3,EXCESSIVE
4303,7,EXCESSIVE
4304,9,SHORT
4305,9,SHORT
4306,8,EXCESSIVE
4307,7,EXCESSIVE
4308,7,EXCESSIVE
4309,9,ACCEPTABLE
4310,2,EXCESSIVE
4311,6,EXCESSIVE
4312,3,SHORT
4313,8,SHORT
4314,6,EXCESSIVE
4315,7,ACCEPTABLE
4316,3,EXCESSIVE
4317,1,EXCESSIVE
4318,8,SHORT
4319,5,ACCEPTABLE
4320,2,EXCESSIVE
4321,2,ACCEPTABLE
4322,3,ACCEPTABLE
4323,2,ACCEPTABLE
4324,2,SHORT
4325,8,ACCEPTABLE
4326,1,ACCEPTABLE
4327,3,SHORT
4328,6,SHORT
4329,6,EXCESSIVE
4330,2,SHORT
4331,4,EXCESSIVE
4332,7,ACCEPTABLE
4333,7,ACCEPTABLE
4334,2,SHORT
4335,6,SHORT
4336,9,SHORT
4337,7,ACCEPTABLE
4338,8,ACCEPTABLE
4339,3,ACCEPTABLE
4340,5,ACCEPTABLE
4341,9,EXCESSIVE
4342,6,EXCESSIVE
4343,8,EXCESSIVE
4344,9,SHORT
4345,9,SHORT
4346,2,ACCEPTABLE
4347,4,SHORT
4348,8,ACCEPTABLE
4349,4,EXCESSIVE
4350,3,ACCEPTABLE
4351,6,EXCESSIVE
4352,9,SHORT
4353,6,SHORT
4354,7,ACCEPTABLE
4355,4,ACCEPTABLE
4356,1,SHORT
4357,4,EXCESSIVE
4358,7,ACCEPTABLE
4359,9,ACCEPTABLE
4360,1,ACCEPTABLE
4361,3,EXCESSIVE
4362,9,ACCEPTABLE
4363,4,SHORT
4364,7,SHORT
4365,4,SHORT
4366,8,ACCEPTABLE
4367,4,EXCESSIVE
4368,8,SHORT
4369,5,SHORT
4370,9,EXCESSIVE
4371,1,SHORT
4372,4,EXCESSIVE
4373,6,SHORT
4374,8,EXCESSIVE
4375,5,SHORT
4376,9,SHORT
4377,4,ACCEPTABLE
4378,1,EXCESSIVE
4379,6,ACCEPTABLE
4380,8,ACCEPTABLE
4381,6,EXCESSIVE
4382,6,ACCEPTABLE
4383,8,ACCEPTABLE
4384,5,SHORT
4385,3,EXCESSIVE
4386,9,SHORT
4387,6,SHORT
4388,4,SHORT
4389,6,SHORT
4390,5,SHORT
4391,7,EXCESSIVE
4392,3,SHORT
4393,6,SHORT
4394,2,EXCESSIVE
4395,4,EXCESSIVE
4396,6,SHORT
4397,3,SHORT
4398,9,EXCESSIVE
4399,9,SHORT
4400,5,SHORT
4401,1,EXCESSIVE
4402,1,EXCESSIVE
4403,1,SHORT
4404,2,ACCEPTABLE
4405,9,ACCEPTABLE
4406,2,EXCESSIVE
4407,9,EXCESSIVE
4408,6,SHORT
4409,1,EXCESSIVE
4410,6,EXCESSIVE
4411,7,ACCEPTABLE
4412,1,EXCESSIVE
4413,6,ACCEPTABLE
4414,9,SHORT
4415,8,ACCEPTABLE
4416,2,SHORT
4417,2,SHORT
4418,6,ACCEPTABLE
4419,1,ACCEPTABLE
4420,8,EXCESSIVE
4421,9,EXCESSIVE
4422,7,EXCESSIVE
4423,4,ACCEPTABLE
4424,3,EXCESSIVE
4425,5,ACCEPTABLE
4426,1,ACCEPTABLE
4427,9,SHORT
4428,3,ACCEPTABLE
4429,6,ACCEPTABLE
4430,7,SHORT
4431,4,SHORT
4432,9,ACCEPTABLE
4433,9,ACCEPTABLE
4434,2,ACCEPTABLE
4435,9,ACCEPTABLE
4436,4,EXCESSIVE
4437,3,ACCEPTABLE
4438,9,EXCESSIVE
4439,7,ACCEPTABLE
4440,3,EXCESSIVE
4441,6,EXCESSIVE
4442,1,SHORT
4443,4,EXCESSIVE
4444,6,EXCESSIVE
4445,1,SHORT
4446,4,EXCESSIVE
4447,2,EXCESSIVE
4448,2,SHORT
4449,2,ACCEPTABLE
4450,3,SHORT
4451,6,EXCESSIVE
4452,7,SHORT
4453,7,EXCESSIVE
4454,7,EXCESSIVE
4455,4,ACCEPTABLE
4456,9,EXCESSIVE
4457,3,SHORT
4458,2,SHORT
4459,6,EXCESSIVE
4460,3,EXCESSIVE
4461,9,EXCESSIVE
4462,5,SHORT
4463,6,EXCESSIVE
4464,3,SHORT
4465,8,ACCEPTABLE
4466,8,SHORT
4467,3,ACCEPTABLE
4468,1,SHORT
4469,8,EXCESSIVE
4470,5,SHORT
4471,9,ACCEPTABLE
4472,6,ACCEPTABLE
4473,1,ACCEPTABLE
4474,9,EXCESSIVE
4475,6,EXCESSIVE
4476,4,SHORT
4477,5,ACCEPTABLE
4478,2,SHORT
4479,5,ACCEPTABLE
4480,4,ACCEPTABLE
4481,4,ACCEPTABLE
4482,5,ACCEPTABLE
4483,6,EXCESSIVE
4484,1,ACCEPTABLE
4485,5,EXCESSIVE
4486,5,EXCESSIVE
4487,5,EXCESSIVE
4488,7,SHORT
4489,4,ACCEPTABLE
4490,1,EXCESSIVE
4491,7,EXCESSIVE
4492,5,ACCEPTABLE
4493,9,EXCESSIVE
4494,8,EXCESSIVE
4495,2,ACCEPTABLE
4496,8,ACCEPTABLE
4497,4,ACCEPTABLE
4498,7,EXCESSIVE
4499,4,EXCESSIVE
4500,2,EXCESSIVE
4501,8,SHORT
4502,4,ACCEPTABLE
4503,8,EXCESSIVE
4504,8,EXCESSIVE
4505,9,EXCESSIVE
4506,1,SHORT
4507,3,EXCESSIVE
4508,3,ACCEPTABLE
4509,9,ACCEPTABLE
4510,7,SHORT
4511,3,SHORT
4512,8,ACCEPTABLE
4513,9,ACCEPTABLE
4514,3,SHORT
4515,3,ACCEPTABLE
4516,4,EXCESSIVE
4517,2,EXCESSIVE
4518,2,SHORT
4519,1,ACCEPTABLE
4520,7,SHORT
4521,7,EXCESSIVE
4522,6,SHORT
4523,1,SHORT
4524,3,ACCEPTABLE
4525,4,EXCESSIVE
4526,4,EXCESSIVE
4527,9,EXCESSIVE
4528,2,SHORT
4529,2,SHORT
4530,9,EXCESSIVE
4531,6,ACCEPTABLE
4532,5,EXCESSIVE
4533,5,ACCEPTABLE
4534,9,ACCEPTABLE
4535,4,EXCESSIVE
4536,6,SHORT
4537,9,SHORT
4538,4,SHORT
4539,4,SHORT
4540,2,SHORT
4541,4,EXCESSIVE
4542,2,ACCEPTABLE
4543,4,ACCEPTABLE
4544,2,EXCESSIVE
4545,1,SHORT
4546,7,ACCEPTABLE
4547,2,SHORT
4548,8,SHORT
4549,9,SHORT
4550,8,EXCESSIVE
4551,7,ACCEPTABLE
4552,1,ACCEPTABLE
4553,6,SHORT
4554,8,EXCESSIVE
4555,5,EXCESSIVE
4556,8,ACCEPTABLE
4557,5,ACCEPTABLE
4558,4,EXCESSIVE
4559,3,ACCEPTABLE
4560,6,EXCESSIVE
4561,7,ACCEPTABLE
4562,2,EXCESSIVE
4563,3,EXCESSIVE
4564,1,ACCEPTABLE
4565,3,SHORT
4566,5,EXCESSIVE
4567,5,EXCESSIVE
4568,3,EXCESSIVE
4569,2,SHORT
4570,8,EXCESSIVE
4571,8,ACCEPTABLE
4572,1,EXCESSIVE
4573,5,ACCEPTABLE
4574,6,EXCESSIVE
4575,6,EXCESSIVE
4576,2,SHORT
4577,5,SHORT
4578,6,SHORT
4579,2,ACCEPTABLE
4580,6,SHORT
4581,3,SHORT
4582,1,SHORT
4583,7,SHORT
4584,5,ACCEPTABLE
4585,4,ACCEPTABLE
4586,6,ACCEPTABLE
4587,2,ACCEPTABLE
4588,8,SHORT
4589,4,ACCEPTABLE
4590,3,EXCESSIVE
4591,1,SHORT
4592,6,ACCEPTABLE
4593,6,SHORT
4594,7,EXCESSIVE
4595,1,EXCESSIVE
4596,1,EXCESSIVE
4597,7,EXCESSIVE
4598,1,EXCESSIVE
4599,2,ACCEPTABLE
4600,2,EXCESSIVE
4601,8,EXCESSIVE
4602,8,ACCEPTABLE
4603,5,SHORT
4604,8,EXCESSIVE
4605,3,EXCESSIVE
4606,1,SHORT
4607,6,EXCESSIVE
4608,4,SHORT
4609,5,ACCEPTABLE
4610,1,SHORT
4611,1,SHORT
4612,5,EXCESSIVE
4613,5,EXCESSIVE
4614,8,ACCEPTABLE
4615,9,EXCESSIVE
4616,1,EXCESSIVE
4617,6,SHORT
4618,3,EXCESSIVE
4619,1,SHORT
4620,1,EXCESSIVE
4621,2,EXCESSIVE
4622,8,EXCESSIVE
4623,8,EXCESSIVE
4624,3,EXCESSIVE
4625,8,EXCESSIVE
4626,1,SHORT
4627,9,SHORT
4628,7,EXCESSIVE
4629,5,EXCESSIVE
4630,6,ACCEPTABLE
4631,1,ACCEPTABLE
4632,3,ACCEPTABLE
4633,2,SHORT
4634,8,SHORT
4635,8,SHORT
4636,1,EXCESSIVE
4637,3,SHORT
4638,3,EXCESSIVE
4639,8,ACCEPTABLE
4640,6,ACCEPTABLE
4641,2,ACCEPTABLE
4642,8,SHORT
4643,4,EXCESSIVE
4644,6,ACCEPTABLE
4645,9,SHORT
4646,9,SHORT
4647,3,ACCEPTABLE
4648,7,EXCESSIVE
4649,6,SHORT
4650,8,ACCEPTABLE
4651,4,EXCESSIVE
4652,4,ACCEPTABLE
4653,5,SHORT
4654,1,EXCESSIVE
4655,4,ACCEPTABLE
4656,1,ACCEPTABLE
4657,1,SHORT
4658,9,SHORT
4659,9,EXCESSIVE
4660,3,SHORT
4661,5,EXCESSIVE
4662,8,SHORT
4663,9,ACCEPTABLE
4664,4,SHORT
4665,4,SHORT
4666,7,EXCESSIVE
4667,7,EXCESSIVE
4668,8,EXCESSIVE
4669,1,SHORT
4670,2,SHORT
4671,9,SHORT
4672,8,ACCEPTABLE
4673,2,EXCESSIVE
4674,7,ACCEPTABLE
4675,3,EXCESSIVE
4676,7,SHORT
4677,6,ACCEPTABLE
4678,3,ACCEPTABLE
4679,7,ACCEPTABLE
4680,4,EXCESSIVE
4681,1,EXCESSIVE
4682,2,SHORT
4683,2,ACCEPTABLE
4684,6,EXCESSIVE
4685,7,SHORT
4686,8,ACCEPTABLE
4687,4,ACCEPTABLE
4688,3,ACCEPTABLE
4689,3,SHORT
4690,5,EXCESSIVE
4691,3,ACCEPTABLE
4692,8,ACCEPTABLE
4693,2,ACCEPTABLE
4694,6,SHORT
4695,5,SHORT
4696,4,ACCEPTABLE
4697,5,ACCEPTABLE
4698,9,SHORT
4699,1,EXCESSIVE
4700,2,EXCESSIVE
4701,7,ACCEPTABLE
4702,3,SHORT
4703,8,EXCESSIVE
4704,4,ACCEPTABLE
4705,5,ACCEPTABLE
4706,1,SHORT
4707,2,ACCEPTABLE
4708,7,ACCEPTABLE
4709,9,SHORT
4710,2,SHORT
4711,1,SHORT
4712,7,EXCESSIVE
4713,7,SHORT
4714,1,ACCEPTABLE
4715,9,SHORT
4716,3,SHORT
4717,7,ACCEPTABLE
4718,1,EXCESSIVE
4719,8,ACCEPTABLE
4720,3,SHORT
4721,7,ACCEPTABLE
4722,9,ACCEPTABLE
4723,7,ACCEPTABLE
4724,6,EXCESSIVE
4725,7,EXCESSIVE
4726,5,SHORT
4727,1,EXCESSIVE
4728,9,ACCEPTABLE
4729,6,SHORT
4730,9,SHORT
4731,3,ACCEPTABLE
4732,1,SHORT
4733,4,SHORT
4734,4,ACCEPTABLE
4735,3,ACCEPTABLE
4736,4,ACCEPTABLE
4737,2,SHORT
4738,1,ACCEPTABLE
4739,2,EXCESSIVE
4740,1,ACCEPTABLE
4741,7,EXCESSIVE
4742,6,ACCEPTABLE
4743,6,EXCESSIVE
4744,7,SHORT
4745,5,ACCEPTABLE
4746,2,ACCEPTABLE
4747,4,SHORT
4748,9,SHORT
4749,4,ACCEPTABLE
4750,7,SHORT
4751,3,SHORT
4752,3,ACCEPTABLE
4753,9,EXCESSIVE
4754,3,EXCESSIVE
4755,3,ACCEPTABLE
4756,9,SHORT
4757,5,ACCEPTABLE
4758,6,ACCEPTABLE
4759,8,SHORT
4760,1,SHORT
4761,2,EXCESSIVE
4762,4,ACCEPTABLE
4763,4,SHORT
4764,2,ACCEPTABLE
4765,3,SHORT
4766,3,SHORT
4767,5,SHORT
4768,8,EXCESSIVE
4769,3,EXCESSIVE
4770,1,ACCEPTABLE
4771,7,SHORT
4772,9,EXCESSIVE
4773,4,EXCESSIVE
4774,4,EXCESSIVE
4775,4,EXCESSIVE
4776,2,EXCESSIVE
4777,4,EXCESSIVE
4778,7,EXCESSIVE
4779,6,ACCEPTABLE
4780,7,EXCESSIVE
4781,5,EXCESSIVE
4782,5,ACCEPTABLE
4783,7,ACCEPTABLE
4784,2,ACCEPTABLE
4785,6,SHORT
4786,5,SHORT
4787,4,ACCEPTABLE
4788,5,EXCESSIVE
4789,8,EXCESSIVE
4790,1,ACCEPTABLE
4791,6,SHORT
4792,7,EXCESSIVE
4793,1,ACCEPTABLE
4794,1,ACCEPTABLE
4795,2,ACCEPTABLE
4796,5,SHORT
4797,8,ACCEPTABLE
4798,3,ACCEPTABLE
4799,5,ACCEPTABLE
4800,8,ACCEPTABLE
4801,7,ACCEPTABLE
4802,7,EXCESSIVE
4803,1,SHORT
4804,5,SHORT
4805,7,EXCESSIVE
4806,5,SHORT
4807,4,ACCEPTABLE
4808,1,ACCEPTABLE
4809,8,EXCESSIVE
4810,8,SHORT
4811,3,EXCESSIVE
4812,1,EXCESSIVE
4813,5,ACCEPTABLE
4814,4,ACCEPTABLE
4815,3,SHORT
4816,2,ACCEPTABLE
4817,6,EXCESSIVE
4818,7,EXCESSIVE
4819,7,ACCEPTABLE
4820,9,ACCEPTABLE
4821,8,EXCESSIVE
4822,9,SHORT
4823,4,EXCESSIVE
4824,2,SHORT
4825,7,EXCESSIVE
4826,8,EXCESSIVE
4827,6,ACCEPTABLE
4828,6,EXCESSIVE
4829,2,EXCESSIVE
4830,3,SHORT
4831,2,ACCEPTABLE
4832,1,SHORT
4833,1,SHORT
4834,2,EXCESSIVE
4835,5,EXCESSIVE
4836,4,EXCESSIVE
4837,3,SHORT
4838,2,SHORT
4839,8,EXCESSIVE
4840,3,SHORT
4841,9,EXCESSIVE
4842,3,ACCEPTABLE
4843,4,ACCEPTABLE
4844,9,SHORT
4845,6,ACCEPTABLE
4846,9,SHORT
4847,9,SHORT
4848,6,ACCEPTABLE
4849,6,EXCESSIVE
4850,3,SHORT
4851,1,ACCEPTABLE
4852,5,SHORT
4853,3,SHORT
4854,9,ACCEPTABLE
4855,7,ACCEPTABLE
4856,9,EXCESSIVE
4857,9,ACCEPTABLE
4858,6,SHORT
4859,2,EXCESSIVE
4860,9,EXCESSIVE
4861,1,SHORT
4862,7,EXCESSIVE
4863,6,EXCESSIVE
4864,9,SHORT
4865,2,SHORT
4866,1,SHORT
4867,7,ACCEPTABLE
4868,2,EXCESSIVE
4869,5,SHORT
4870,8,EXCESSIVE
4871,6,ACCEPTABLE
4872,7,EXCESSIVE
4873,4,ACCEPTABLE
4874,4,SHORT
4875,4,ACCEPTABLE
4876,3,ACCEPTABLE
4877,3,EXCESSIVE
4878,4,SHORT
4879,3,ACCEPTABLE
4880,1,EXCESSIVE
4881,6,EXCESSIVE
4882,3,ACCEPTABLE
4883,2,ACCEPTABLE
4884,7,EXCESSIVE
4885,9,EXCESSIVE
4886,9,SHORT
4887,9,EXCESSIVE
4888,3,ACCEPTABLE
4889,9,ACCEPTABLE
4890,9,EXCESSIVE
4891,1,SHORT
4892,3,ACCEPTABLE
4893,2,SHORT
4894,8,SHORT
4895,2,SHORT
4896,8,SHORT
4897,2,SHORT
4898,1,EXCESSIVE
4899,8,SHORT
4900,9,ACCEPTABLE
4901,9,EXCESSIVE
4902,3,SHORT
4903,8,ACCEPTABLE
4904,5,ACCEPTABLE
4905,7,SHORT
4906,1,ACCEPTABLE
4907,9,SHORT
4908,2,ACCEPTABLE
4909,8,EXCESSIVE
4910,6,EXCESSIVE
4911,3,ACCEPTABLE
4912,1,EXCESSIVE
4913,8,EXCESSIVE
4914,2,ACCEPTABLE
4915,7,EXCESSIVE
4916,6,EXCESSIVE
4917,8,SHORT
4918,6,SHORT
4919,7,ACCEPTABLE
4920,3,SHORT
4921,3,ACCEPTABLE
4922,5,EXCESSIVE
4923,7,EXCESSIVE
4924,6,SHORT
4925,4,EXCESSIVE
4926,5,ACCEPTABLE
4927,6,SHORT
4928,3,ACCEPTABLE
4929,4,SHORT
4930,6,SHORT
4931,7,SHORT
4932,7,ACCEPTABLE
4933,4,SHORT
4934,8,SHORT
4935,4,EXCESSIVE
4936,6,EXCESSIVE
4937,5,SHORT
4938,7,SHORT
4939,4,EXCESSIVE
4940,5,ACCEPTABLE
4941,4,EXCESSIVE
4942,4,ACCEPTABLE
4943,6,SHORT
4944,6,ACCEPTABLE
4945,9,SHORT
4946,9,EXCESSIVE
4947,5,EXCESSIVE
4948,3,SHORT
4949,1,SHORT
4950,2,ACCEPTABLE
4951,2,SHORT
4952,9,EXCESSIVE
4953,9,SHORT
4954,9,ACCEPTABLE
4955,4,SHORT
4956,3,EXCESSIVE
4957,9,EXCESSIVE
4958,6,EXCESSIVE
4959,7,ACCEPTABLE
4960,8,SHORT
4961,6,ACCEPTABLE
4962,2,SHORT
4963,7,ACCEPTABLE
4964,1,ACCEPTABLE
4965,2,EXCESSIVE
4966,9,EXCESSIVE
4967,8,SHORT
4968,2,EXCESSIVE
4969,7,ACCEPTABLE
4970,8,SHORT
4971,3,ACCEPTABLE
4972,9,SHORT
4973,7,EXCESSIVE
4974,9,SHORT
4975,5,ACCEPTABLE
4976,6,EXCESSIVE
4977,2,ACCEPTABLE
4978,5,ACCEPTABLE
4979,2,SHORT
4980,8,SHORT
4981,6,ACCEPTABLE
4982,1,EXCESSIVE
4983,5,SHORT
4984,4,ACCEPTABLE
4985,9,EXCESSIVE
4986,6,SHORT
4987,5,SHORT
4988,2,ACCEPTABLE
4989,4,EXCESSIVE
4990,4,ACCEPTABLE
4991,1,SHORT
4992,1,ACCEPTABLE
4993,3,EXCESSIVE
4994,7,ACCEPTABLE
4995,8,SHORT
4996,9,SHORT
4997,4,EXCESSIVE
4998,5,ACCEPTABLE
4999,8,SHORT
5000,5,ACCEPTABLE
5001,6,SHORT
5002,9,EXCESSIVE
5003,6,EXCESSIVE
5004,5,SHORT
5005,2,ACCEPTABLE
5006,8,ACCEPTABLE
5007,6,ACCEPTABLE
5008,8,ACCEPTABLE
5009,6,EXCESSIVE
5010,4,EXCESSIVE
5011,3,ACCEPTABLE
5012,3,SHORT
5013,8,ACCEPTABLE
5014,2,SHORT
5015,7,SHORT
5016,7,ACCEPTABLE
5017,7,ACCEPTABLE
5018,4,SHORT
5019,4,EXCESSIVE
5020,5,EXCESSIVE
5021,2,ACCEPTABLE
5022,3,EXCESSIVE
5023,6,EXCESSIVE
5024,2,EXCESSIVE
5025,7,EXCESSIVE
5026,4,EXCESSIVE
5027,6,EXCESSIVE
5028,5,ACCEPTABLE
5029,5,EXCESSIVE
5030,7,EXCESSIVE
5031,3,EXCESSIVE
5032,5,EXCESSIVE
5033,3,SHORT
5034,6,ACCEPTABLE
5035,6,ACCEPTABLE
5036,1,SHORT
5037,9,EXCESSIVE
5038,4,ACCEPTABLE
5039,8,ACCEPTABLE
5040,3,ACCEPTABLE
5041,4,ACCEPTABLE
5042,7,SHORT
5043,5,EXCESSIVE
5044,8,SHORT
5045,7,SHORT
5046,2,EXCESSIVE
5047,9,SHORT
5048,7,SHORT
5049,2,ACCEPTABLE
5050,9,SHORT
5051,3,ACCEPTABLE
5052,4,SHORT
5053,7,SHORT
5054,4,ACCEPTABLE
5055,2,ACCEPTABLE
5056,6,SHORT
5057,1,SHORT
5058,8,SHORT
5059,9,SHORT
5060,5,SHORT
5061,2,ACCEPTABLE
5062,8,EXCESSIVE
5063,7,SHORT
5064,5,ACCEPTABLE
5065,6,SHORT
5066,6,SHORT
5067,5,ACCEPTABLE
5068,6,ACCEPTABLE
5069,1,EXCESSIVE
