call_id,client_id,dept_id,tele_id,salary,date,call_satisfaction_grade,call_response_time
92,1289,DEPT_SALES,97,1000,399,2,SHORT
93,1011,DEPT_CANCEL,30,1200,536,9,ACCEPTABLE
94,660,DEPT_CANCEL,131,1200,178,4,EXCESSIVE
95,1383,DEPT_CANCEL,69,1200,287,8,SHORT
96,341,DEPT_SALES,133,1000,421,2,EXCESSIVE
97,671,DEPT_SUPPORT,55,1200,558,9,SHORT
98,1234,DEPT_SUPPORT,154,1200,120,5,SHORT
99,234,DEPT_MAIN,197,1200,129,3,EXCESSIVE
100,554,DEPT_SUPPORT,31,1000,222,6,EXCESSIVE
101,652,DEPT_MAIN,231,1200,662,9,ACCEPTABLE
102,492,DEPT_MAIN,222,1200,458,3,EXCESSIVE
103,18,DEPT_MAIN,186,900,354,9,ACCEPTABLE
104,661,DEPT_SUPPORT,35,900,97,7,ACCEPTABLE
105,1228,DEPT_MAIN,82,1000,428,5,ACCEPTABLE
106,1330,DEPT_MAIN,121,900,335,2,SHORT
107,918,DEPT_SALES,37,1200,529,7,EXCESSIVE
108,537,DEPT_MAIN,213,1000,269,5,ACCEPTABLE
109,55,DEPT_MAIN,20,1200,425,2,ACCEPTABLE
110,1446,DEPT_SALES,175,1000,712,3,SHORT
111,946,DEPT_CANCEL,157,900,327,2,ACCEPTABLE
112,1265,DEPT_SALES,76,900,371,6,ACCEPTABLE
113,1062,DEPT_SUPPORT,204,1200,554,3,ACCEPTABLE
114,568,DEPT_SUPPORT,100,1000,209,6,ACCEPTABLE
115,352,DEPT_MAIN,187,1200,643,4,ACCEPTABLE
116,435,DEPT_MAIN,92,900,451,9,EXCESSIVE
117,627,DEPT_SUPPORT,25,900,357,9,EXCESSIVE
118,219,DEPT_CANCEL,139,900,504,4,ACCEPTABLE
119,1274,DEPT_SUPPORT,192,1000,222,7,EXCESSIVE
120,1401,DEPT_SALES,63,900,626,8,EXCESSIVE
121,967,DEPT_SUPPORT,145,1200,84,6,EXCESSIVE
122,410,DEPT_SALES,139,900,560,6,ACCEPTABLE
123,430,DEPT_CANCEL,81,1000,115,7,ACCEPTABLE
124,1007,DEPT_MAIN,108,900,465,2,ACCEPTABLE
125,1060,DEPT_MAIN,66,1000,516,8,ACCEPTABLE
126,18,DEPT_MAIN,163,1200,564,6,SHORT
127,1182,DEPT_SUPPORT,114,1000,499,1,SHORT
128,1126,DEPT_MAIN,15,1200,55,1,EXCESSIVE
129,378,DEPT_MAIN,181,1200,430,1,ACCEPTABLE
130,1163,DEPT_SALES,72,1200,669,4,EXCESSIVE
131,472,DEPT_SALES,19,1200,408,2,ACCEPTABLE
132,907,DEPT_MAIN,118,1000,547,2,ACCEPTABLE
133,284,DEPT_MAIN,148,900,544,1,ACCEPTABLE
134,1371,DEPT_SUPPORT,46,900,51,3,EXCESSIVE
135,1165,DEPT_MAIN,24,1200,580,1,EXCESSIVE
136,837,DEPT_SALES,160,1200,371,5,SHORT
137,1123,DEPT_MAIN,61,900,643,2,SHORT
138,277,DEPT_SALES,196,1000,523,3,EXCESSIVE
139,215,DEPT_SALES,181,1200,140,4,ACCEPTABLE
140,1478,DEPT_CANCEL,220,1000,515,5,ACCEPTABLE
141,1469,DEPT_SALES,230,900,49,7,EXCESSIVE
142,942,DEPT_SUPPORT,54,900,359,7,ACCEPTABLE
143,322,DEPT_CANCEL,182,900,353,4,EXCESSIVE
144,624,DEPT_SUPPORT,53,1000,459,1,ACCEPTABLE
145,192,DEPT_SALES,245,900,7,5,SHORT
146,1169,DEPT_CANCEL,123,1000,673,6,SHORT
147,85,DEPT_SUPPORT,117,1000,665,3,ACCEPTABLE
148,461,DEPT_CANCEL,99,1200,605,2,SHORT
149,1394,DEPT_SUPPORT,117,1000,299,2,EXCESSIVE
150,750,DEPT_SUPPORT,165,1200,700,2,ACCEPTABLE
151,738,DEPT_MAIN,90,1200,554,9,EXCESSIVE
152,203,DEPT_SALES,64,1200,455,5,EXCESSIVE
153,291,DEPT_MAIN,65,1200,118,7,ACCEPTABLE
154,307,DEPT_MAIN,160,1200,335,2,SHORT
155,813,DEPT_SUPPORT,209,1000,517,5,ACCEPTABLE
156,1003,DEPT_MAIN,15,1200,472,9,EXCESSIVE
157,1183,DEPT_MAIN,148,900,97,6,SHORT
158,911,DEPT_MAIN,239,1000,105,4,EXCESSIVE
159,1225,DEPT_MAIN,140,1000,484,3,EXCESSIVE
160,463,DEPT_CANCEL,13,1000,86,6,EXCESSIVE
161,47,DEPT_CANCEL,204,1200,455,5,ACCEPTABLE
162,1147,DEPT_SALES,250,900,649,4,ACCEPTABLE
163,851,DEPT_SALES,68,1000,183,9,SHORT
164,153,DEPT_CANCEL,6,1000,518,4,ACCEPTABLE
165,748,DEPT_CANCEL,156,1000,294,4,EXCESSIVE
166,110,DEPT_SUPPORT,250,900,633,7,ACCEPTABLE
167,1455,DEPT_MAIN,87,900,446,9,ACCEPTABLE
168,260,DEPT_SALES,90,1200,708,7,ACCEPTABLE
169,233,DEPT_SALES,204,1200,569,1,ACCEPTABLE
170,698,DEPT_MAIN,109,1200,602,9,ACCEPTABLE
171,1009,DEPT_CANCEL,175,1000,240,9,EXCESSIVE
172,1140,DEPT_SALES,139,900,498,4,EXCESSIVE
173,771,DEPT_SALES,38,1200,368,6,ACCEPTABLE
174,632,DEPT_SALES,108,900,525,8,SHORT
175,565,DEPT_SALES,153,1000,67,7,ACCEPTABLE
176,470,DEPT_SALES,9,1200,659,7,SHORT
177,582,DEPT_SUPPORT,96,1000,248,5,EXCESSIVE
178,983,DEPT_CANCEL,164,1000,69,7,SHORT
179,219,DEPT_SALES,10,1000,50,5,ACCEPTABLE
180,1426,DEPT_SALES,208,900,363,2,ACCEPTABLE
181,605,DEPT_MAIN,69,1200,113,4,EXCESSIVE
182,955,DEPT_CANCEL,159,900,452,8,SHORT
183,170,DEPT_SUPPORT,149,1200,47,9,EXCESSIVE
184,1259,DEPT_SUPPORT,129,1000,105,9,ACCEPTABLE
185,227,DEPT_SALES,126,1000,261,4,EXCESSIVE
186,348,DEPT_MAIN,226,1200,629,1,ACCEPTABLE
187,198,DEPT_MAIN,217,1200,50,9,EXCESSIVE
188,1087,DEPT_CANCEL,107,1200,620,9,ACCEPTABLE
189,1404,DEPT_SUPPORT,162,1000,615,5,ACCEPTABLE
190,153,DEPT_SALES,226,1200,76,1,ACCEPTABLE
191,62,DEPT_SUPPORT,193,1200,455,4,ACCEPTABLE
192,798,DEPT_SUPPORT,188,900,94,3,SHORT
193,1048,DEPT_MAIN,171,1200,424,2,SHORT
194,16,DEPT_SUPPORT,86,1000,209,7,ACCEPTABLE
195,666,DEPT_CANCEL,31,1000,260,2,EXCESSIVE
196,58,DEPT_SUPPORT,131,1200,21,5,EXCESSIVE
197,829,DEPT_SALES,243,900,464,1,SHORT
198,285,DEPT_SUPPORT,92,900,24,9,SHORT
199,500,DEPT_SUPPORT,57,1000,594,1,SHORT
200,1121,DEPT_SALES,113,1200,157,1,ACCEPTABLE
201,604,DEPT_SUPPORT,176,1000,641,9,ACCEPTABLE
202,1048,DEPT_CANCEL,64,1200,129,5,ACCEPTABLE
203,1438,DEPT_MAIN,194,1200,357,2,ACCEPTABLE
204,334,DEPT_SUPPORT,22,900,443,8,SHORT
205,1144,DEPT_CANCEL,233,1000,99,5,SHORT
206,791,DEPT_SUPPORT,4,1200,287,4,ACCEPTABLE
207,726,DEPT_CANCEL,35,900,103,5,ACCEPTABLE
208,1006,DEPT_CANCEL,118,1000,421,2,EXCESSIVE
209,757,DEPT_SUPPORT,87,900,220,1,SHORT
210,1446,DEPT_SALES,114,1000,383,2,ACCEPTABLE
211,1352,DEPT_SUPPORT,129,1000,39,3,ACCEPTABLE
212,741,DEPT_MAIN,33,1200,648,2,EXCESSIVE
213,498,DEPT_MAIN,23,900,275,1,SHORT
214,328,DEPT_SUPPORT,219,1000,613,6,ACCEPTABLE
215,451,DEPT_SALES,219,1000,645,3,EXCESSIVE
216,726,DEPT_SALES,195,1000,68,6,ACCEPTABLE
217,1472,DEPT_SUPPORT,2,900,65,9,EXCESSIVE
218,1134,DEPT_CANCEL,1,1200,719,4,SHORT
219,915,DEPT_MAIN,249,1200,430,5,EXCESSIVE
220,246,DEPT_SALES,21,900,59,6,SHORT
221,1358,DEPT_SALES,224,900,678,8,ACCEPTABLE
222,662,DEPT_SALES,14,900,70,3,SHORT
223,709,DEPT_SUPPORT,97,1000,83,5,EXCESSIVE
224,830,DEPT_SALES,192,1000,402,9,SHORT
225,1124,DEPT_CANCEL,86,1000,652,3,SHORT
226,1327,DEPT_SALES,70,1200,89,2,ACCEPTABLE
227,1115,DEPT_MAIN,204,1200,411,7,EXCESSIVE
228,677,DEPT_MAIN,124,1200,582,9,EXCESSIVE
229,842,DEPT_SALES,171,1200,367,9,SHORT
230,1262,DEPT_SUPPORT,224,900,495,8,SHORT
231,993,DEPT_SUPPORT,161,1000,491,2,ACCEPTABLE
232,209,DEPT_SALES,155,1000,7,6,ACCEPTABLE
233,1224,DEPT_CANCEL,161,1000,251,2,EXCESSIVE
234,1204,DEPT_SALES,68,1000,411,7,SHORT
235,443,DEPT_CANCEL,52,1000,425,4,EXCESSIVE
236,1448,DEPT_CANCEL,212,900,355,7,SHORT
237,707,DEPT_SALES,153,1000,503,6,ACCEPTABLE
238,628,DEPT_SALES,150,1000,118,4,ACCEPTABLE
239,987,DEPT_CANCEL,119,900,350,2,ACCEPTABLE
240,638,DEPT_CANCEL,144,1200,333,9,ACCEPTABLE
241,429,DEPT_SALES,59,900,338,2,SHORT
242,1044,DEPT_MAIN,126,1000,452,9,SHORT
243,1497,DEPT_MAIN,94,900,52,7,EXCESSIVE
244,432,DEPT_MAIN,244,1200,416,5,SHORT
245,898,DEPT_MAIN,174,1200,553,8,ACCEPTABLE
246,69,DEPT_SALES,35,900,234,6,SHORT
247,1299,DEPT_SUPPORT,58,1200,443,9,SHORT
248,397,DEPT_SUPPORT,238,900,78,2,SHORT
249,351,DEPT_MAIN,101,1000,520,1,ACCEPTABLE
250,604,DEPT_SALES,111,900,332,1,SHORT
251,922,DEPT_CANCEL,91,900,538,5,SHORT
252,143,DEPT_SUPPORT,34,900,265,3,SHORT
253,30,DEPT_MAIN,72,1200,115,2,ACCEPTABLE
254,508,DEPT_CANCEL,187,1200,271,1,EXCESSIVE
255,1479,DEPT_MAIN,79,1000,403,9,ACCEPTABLE
256,50,DEPT_SUPPORT,68,1000,321,7,EXCESSIVE
257,918,DEPT_CANCEL,5,1200,565,3,SHORT
258,477,DEPT_SALES,65,1200,687,4,EXCESSIVE
259,723,DEPT_MAIN,166,900,637,1,EXCESSIVE
260,936,DEPT_MAIN,28,1000,202,7,ACCEPTABLE
261,1405,DEPT_CANCEL,88,1200,364,6,EXCESSIVE
262,619,DEPT_CANCEL,155,1000,480,6,ACCEPTABLE
263,1140,DEPT_SALES,147,1200,343,7,EXCESSIVE
264,771,DEPT_CANCEL,160,1200,32,6,ACCEPTABLE
265,862,DEPT_MAIN,31,1000,639,3,ACCEPTABLE
266,1106,DEPT_MAIN,215,900,43,4,SHORT
267,957,DEPT_CANCEL,187,1200,21,4,EXCESSIVE
268,1317,DEPT_MAIN,199,1200,577,5,EXCESSIVE
269,1283,DEPT_SUPPORT,38,1200,43,6,EXCESSIVE
270,1228,DEPT_SUPPORT,181,1200,142,3,SHORT
271,124,DEPT_MAIN,148,900,414,9,ACCEPTABLE
272,88,DEPT_SUPPORT,33,1200,484,3,ACCEPTABLE
273,667,DEPT_SALES,181,1200,476,6,SHORT
274,102,DEPT_SUPPORT,125,1200,529,3,ACCEPTABLE
275,714,DEPT_SALES,170,1000,308,8,ACCEPTABLE
276,1380,DEPT_CANCEL,162,1000,344,5,SHORT
277,806,DEPT_SALES,48,1000,69,5,EXCESSIVE
278,847,DEPT_SALES,17,1200,407,8,EXCESSIVE
279,526,DEPT_SUPPORT,232,900,231,1,EXCESSIVE
280,322,DEPT_MAIN,27,900,352,7,ACCEPTABLE
281,611,DEPT_MAIN,133,1000,558,5,SHORT
282,385,DEPT_MAIN,247,1200,578,3,EXCESSIVE
283,181,DEPT_SUPPORT,112,1000,329,5,EXCESSIVE
284,932,DEPT_MAIN,11,1000,520,6,ACCEPTABLE
285,236,DEPT_CANCEL,66,1000,388,9,SHORT
286,836,DEPT_SUPPORT,33,1200,558,5,ACCEPTABLE
287,939,DEPT_CANCEL,212,900,633,7,ACCEPTABLE
288,62,DEPT_SALES,8,1200,40,5,SHORT
289,1371,DEPT_SUPPORT,205,900,709,1,EXCESSIVE
290,1398,DEPT_SUPPORT,250,900,474,7,SHORT
291,987,DEPT_SUPPORT,150,1000,415,2,EXCESSIVE
292,1243,DEPT_SUPPORT,87,900,614,2,EXCESSIVE
293,59,DEPT_CANCEL,190,900,529,1,ACCEPTABLE
294,655,DEPT_SUPPORT,65,1200,369,7,EXCESSIVE
295,1194,DEPT_SALES,200,1000,253,8,SHORT
296,403,DEPT_SALES,130,1000,350,6,SHORT
297,780,DEPT_SUPPORT,177,1000,269,3,EXCESSIVE
298,858,DEPT_MAIN,47,900,463,9,EXCESSIVE
299,396,DEPT_CANCEL,74,1200,469,7,EXCESSIVE
300,860,DEPT_SUPPORT,222,1200,376,3,EXCESSIVE
301,1198,DEPT_CANCEL,100,1000,108,2,SHORT
302,516,DEPT_SALES,187,1200,371,4,ACCEPTABLE
303,1483,DEPT_MAIN,174,1200,363,3,EXCESSIVE
304,368,DEPT_CANCEL,90,1200,639,8,EXCESSIVE
305,1258,DEPT_CANCEL,186,900,597,8,ACCEPTABLE
306,768,DEPT_SALES,171,1200,128,6,SHORT
307,922,DEPT_SALES,146,900,149,1,SHORT
308,1192,DEPT_CANCEL,121,900,203,2,ACCEPTABLE
309,933,DEPT_SALES,181,1200,492,2,SHORT
310,585,DEPT_CANCEL,201,1000,594,9,ACCEPTABLE
311,1281,DEPT_CANCEL,109,1200,621,2,EXCESSIVE
312,1176,DEPT_MAIN,10,1000,113,6,ACCEPTABLE
313,1357,DEPT_CANCEL,63,900,363,1,EXCESSIVE
314,1414,DEPT_MAIN,220,1000,482,3,ACCEPTABLE
315,1469,DEPT_SUPPORT,54,900,77,3,SHORT
316,1252,DEPT_MAIN,34,900,489,2,SHORT
317,502,DEPT_MAIN,221,1200,204,2,SHORT
318,928,DEPT_MAIN,246,1000,393,2,EXCESSIVE
319,128,DEPT_MAIN,214,1000,441,1,SHORT
320,298,DEPT_CANCEL,204,1200,585,5,SHORT
321,589,DEPT_SALES,214,1000,226,7,SHORT
322,1484,DEPT_SUPPORT,17,1200,356,1,SHORT
323,618,DEPT_MAIN,66,1000,542,9,EXCESSIVE
324,678,DEPT_MAIN,116,900,420,2,SHORT
325,1296,DEPT_MAIN,193,1200,267,5,EXCESSIVE
326,1197,DEPT_CANCEL,164,1000,372,6,ACCEPTABLE
327,229,DEPT_MAIN,162,1000,190,8,ACCEPTABLE
328,355,DEPT_SUPPORT,167,1200,301,9,ACCEPTABLE
329,1026,DEPT_MAIN,16,1200,448,4,SHORT
330,835,DEPT_SALES,215,900,611,2,ACCEPTABLE
331,1378,DEPT_CANCEL,178,1000,200,1,ACCEPTABLE
332,652,DEPT_MAIN,141,900,352,4,SHORT
333,1002,DEPT_CANCEL,44,1200,615,1,ACCEPTABLE
334,340,DEPT_SALES,127,1200,381,2,SHORT
335,1110,DEPT_SALES,200,1000,12,9,EXCESSIVE
336,704,DEPT_MAIN,7,1000,348,6,ACCEPTABLE
337,637,DEPT_MAIN,3,1000,212,3,SHORT
338,1126,DEPT_SUPPORT,93,900,590,3,SHORT
339,732,DEPT_CANCEL,166,900,511,3,ACCEPTABLE
340,463,DEPT_SALES,142,1200,286,6,SHORT
341,118,DEPT_SALES,111,900,491,7,EXCESSIVE
342,700,DEPT_SUPPORT,3,1000,292,4,SHORT
343,1498,DEPT_SUPPORT,111,900,654,6,EXCESSIVE
344,1420,DEPT_CANCEL,226,1200,256,6,EXCESSIVE
345,932,DEPT_SUPPORT,4,1200,483,3,ACCEPTABLE
346,219,DEPT_MAIN,131,1200,618,7,SHORT
347,853,DEPT_SUPPORT,244,1200,250,3,EXCESSIVE
348,1343,DEPT_SUPPORT,57,1000,56,2,ACCEPTABLE
349,641,DEPT_SALES,91,900,580,7,ACCEPTABLE
350,109,DEPT_SUPPORT,195,1000,586,3,EXCESSIVE
351,649,DEPT_MAIN,148,900,488,1,SHORT
352,383,DEPT_SUPPORT,177,1000,177,9,SHORT
353,1225,DEPT_MAIN,224,900,457,5,ACCEPTABLE
354,595,DEPT_MAIN,176,1000,523,3,SHORT
355,3,DEPT_MAIN,59,900,718,9,EXCESSIVE
356,1261,DEPT_MAIN,114,1000,162,3,SHORT
357,694,DEPT_CANCEL,70,1200,569,8,SHORT
358,457,DEPT_CANCEL,70,1200,404,5,ACCEPTABLE
359,535,DEPT_SUPPORT,86,1000,150,2,EXCESSIVE
360,1006,DEPT_MAIN,76,900,229,3,ACCEPTABLE
361,318,DEPT_SUPPORT,40,1200,72,6,EXCESSIVE
362,631,DEPT_CANCEL,71,1000,220,7,SHORT
363,821,DEPT_CANCEL,137,900,246,7,ACCEPTABLE
364,547,DEPT_SALES,17,1200,460,1,ACCEPTABLE
365,1134,DEPT_SUPPORT,105,1000,210,4,SHORT
366,1202,DEPT_SUPPORT,244,1200,316,7,ACCEPTABLE
367,272,DEPT_SUPPORT,15,1200,375,2,SHORT
368,1366,DEPT_MAIN,147,1200,693,3,EXCESSIVE
369,1271,DEPT_SUPPORT,139,900,173,8,EXCESSIVE
370,462,DEPT_SUPPORT,184,1200,392,8,EXCESSIVE
371,37,DEPT_MAIN,246,1000,677,3,ACCEPTABLE
372,651,DEPT_SALES,202,1200,479,1,ACCEPTABLE
373,1049,DEPT_SALES,209,1000,394,8,ACCEPTABLE
374,241,DEPT_SALES,148,900,209,6,ACCEPTABLE
375,509,DEPT_SALES,246,1000,363,2,EXCESSIVE
376,1064,DEPT_MAIN,78,1000,56,6,EXCESSIVE
377,380,DEPT_MAIN,232,900,90,9,SHORT
378,1165,DEPT_CANCEL,89,1200,443,8,ACCEPTABLE
379,475,DEPT_CANCEL,44,1200,205,8,EXCESSIVE
380,398,DEPT_SUPPORT,227,900,165,7,ACCEPTABLE
381,181,DEPT_SUPPORT,6,1000,45,9,SHORT
382,348,DEPT_SALES,222,1200,256,3,ACCEPTABLE
383,664,DEPT_CANCEL,34,900,617,9,ACCEPTABLE
384,165,DEPT_CANCEL,8,1200,110,9,ACCEPTABLE
385,584,DEPT_MAIN,126,1000,65,3,ACCEPTABLE
386,1126,DEPT_SALES,165,1200,427,2,ACCEPTABLE
387,791,DEPT_CANCEL,128,1200,206,6,SHORT
388,729,DEPT_SUPPORT,67,1000,151,8,SHORT
389,1157,DEPT_SUPPORT,25,900,490,6,SHORT
390,222,DEPT_SUPPORT,5,1200,325,7,ACCEPTABLE
391,604,DEPT_MAIN,116,900,236,8,ACCEPTABLE
392,442,DEPT_SALES,234,1000,572,8,ACCEPTABLE
393,477,DEPT_CANCEL,196,1000,168,4,SHORT
394,1163,DEPT_CANCEL,76,900,119,3,SHORT
395,772,DEPT_CANCEL,9,1200,7,5,ACCEPTABLE
396,74,DEPT_SALES,78,1000,361,6,ACCEPTABLE
397,134,DEPT_SALES,163,1200,146,3,EXCESSIVE
398,701,DEPT_CANCEL,77,1000,138,7,ACCEPTABLE
399,253,DEPT_MAIN,52,1000,326,7,EXCESSIVE
400,1298,DEPT_SALES,181,1200,654,5,EXCESSIVE
401,1202,DEPT_CANCEL,167,1200,149,1,ACCEPTABLE
402,794,DEPT_MAIN,142,1200,142,4,ACCEPTABLE
403,193,DEPT_SUPPORT,71,1000,196,5,SHORT
404,616,DEPT_MAIN,87,900,658,7,EXCESSIVE
405,1357,DEPT_SUPPORT,35,900,659,9,EXCESSIVE
406,113,DEPT_SALES,104,1000,692,7,SHORT
407,219,DEPT_CANCEL,118,1000,362,7,EXCESSIVE
408,746,DEPT_SALES,90,1200,354,5,SHORT
409,42,DEPT_SUPPORT,90,1200,30,6,SHORT
410,1139,DEPT_CANCEL,93,900,288,8,ACCEPTABLE
411,587,DEPT_CANCEL,173,1000,679,1,SHORT
412,6,DEPT_SALES,233,1000,596,8,SHORT
413,490,DEPT_CANCEL,211,1000,401,7,ACCEPTABLE
414,1389,DEPT_SALES,203,900,688,4,ACCEPTABLE
415,784,DEPT_CANCEL,95,1000,716,5,EXCESSIVE
416,607,DEPT_CANCEL,70,1200,441,2,ACCEPTABLE
417,1408,DEPT_CANCEL,89,1200,343,4,EXCESSIVE
418,43,DEPT_SUPPORT,242,900,144,7,EXCESSIVE
419,1462,DEPT_SUPPORT,195,1000,384,5,EXCESSIVE
420,1291,DEPT_CANCEL,233,1000,249,9,EXCESSIVE
421,97,DEPT_MAIN,158,1000,158,3,ACCEPTABLE
422,113,DEPT_SALES,151,1000,646,1,ACCEPTABLE
423,957,DEPT_CANCEL,11,1000,75,8,ACCEPTABLE
424,1449,DEPT_SUPPORT,149,1200,657,4,SHORT
425,764,DEPT_CANCEL,124,1200,508,1,SHORT
426,632,DEPT_CANCEL,250,900,119,4,ACCEPTABLE
427,978,DEPT_MAIN,194,1200,341,1,EXCESSIVE
428,287,DEPT_SALES,100,1000,172,3,ACCEPTABLE
429,456,DEPT_CANCEL,143,900,159,9,EXCESSIVE
430,508,DEPT_SUPPORT,213,1000,455,4,ACCEPTABLE
431,198,DEPT_SALES,205,900,384,6,ACCEPTABLE
432,862,DEPT_SALES,133,1000,557,1,SHORT
433,162,DEPT_MAIN,32,900,327,5,EXCESSIVE
434,577,DEPT_SUPPORT,179,1200,249,7,ACCEPTABLE
435,439,DEPT_SALES,33,1200,512,9,SHORT
436,699,DEPT_SALES,85,900,292,7,ACCEPTABLE
437,463,DEPT_MAIN,29,1200,639,1,ACCEPTABLE
